@relation tweets

@attribute fppronouns numeric
@attribute sppronouns numeric
@attribute tppronouns numeric
@attribute coordconjs numeric
@attribute ptverbs numeric
@attribute ftverbs numeric
@attribute commas numeric
@attribute colons numeric
@attribute dashes numeric
@attribute parentheses numeric
@attribute ellipses numeric
@attribute cmnnouns numeric
@attribute propnouns numeric
@attribute adverbs numeric
@attribute whwords numeric
@attribute slang numeric
@attribute uppercase numeric
@attribute avgsentence numeric
@attribute avgtoken numeric
@attribute numsentence numeric
@attribute class {britneyspears,justinbieber,katyperry,ladygaga,rihanna,taylorswift}


@data
1,1,0,0,0,0,0,0,1,0,2,11,2,2,0,0,0,5.6,3.07,5,britneyspears
0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,0,0,23.0,3.91,1,britneyspears
2,0,1,1,2,0,0,1,0,0,0,7,0,0,0,0,0,10.5,4.05,2,britneyspears
0,0,1,0,0,0,0,1,1,0,0,8,2,0,0,0,0,6.67,4.3,3,britneyspears
0,1,0,0,1,0,1,0,0,0,1,8,2,0,0,0,0,9.33,3.79,3,britneyspears
1,0,1,0,2,0,0,0,0,0,0,5,2,0,0,0,0,4.33,3.23,3,britneyspears
1,0,1,1,1,0,0,0,1,0,0,8,0,1,0,0,0,7.67,3.87,3,britneyspears
0,0,1,2,0,0,0,0,0,0,0,10,0,0,0,0,0,11.0,4.73,2,britneyspears
2,0,0,2,0,1,1,0,0,0,2,13,0,1,0,0,0,8.75,2.89,4,britneyspears
1,1,0,0,0,0,0,0,1,0,1,5,1,0,0,1,0,7.0,3.95,3,britneyspears
3,1,2,0,1,0,1,0,1,2,0,17,4,0,0,0,0,12.0,3.13,4,britneyspears
2,0,0,1,0,1,0,0,1,0,1,9,1,0,0,0,1,8.67,3.42,3,britneyspears
4,2,0,1,0,0,0,0,0,0,0,12,1,0,0,0,1,10.33,3.32,3,britneyspears
0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,1,4.0,3.38,2,britneyspears
2,0,0,1,2,0,0,0,1,0,0,11,1,0,0,0,1,8.67,3.65,3,britneyspears
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2.0,2.5,1,britneyspears
