@relation tweets

@attribute fppronouns numeric
@attribute sppronouns numeric
@attribute tppronouns numeric
@attribute coordconjs numeric
@attribute ptverbs numeric
@attribute ftverbs numeric
@attribute commas numeric
@attribute colons numeric
@attribute dashes numeric
@attribute parentheses numeric
@attribute ellipses numeric
@attribute cmnnouns numeric
@attribute propnouns numeric
@attribute adverbs numeric
@attribute whwords numeric
@attribute slang numeric
@attribute uppercase numeric
@attribute avgsentence numeric
@attribute avgtoken numeric
@attribute numsentence numeric
@attribute class {barackobama,stephencolbert,ashtonkutcher,kimkardashian,neiltyson,shakira}


@data
1,0,0,0,0,0,1,1,0,0,0,5,3,0,0,0,2,16.0,3.44,1,barackobama
1,0,0,0,0,1,1,0,0,0,0,7,2,0,1,0,2,10.5,4.05,2,barackobama
0,0,0,1,1,0,1,1,0,0,0,7,2,1,0,0,1,10.0,4.55,2,barackobama
0,0,0,1,0,0,1,0,0,0,0,8,0,1,1,0,0,10.5,4.33,2,barackobama
0,0,1,0,0,0,1,1,0,0,0,5,1,1,0,0,0,10.0,4.3,2,barackobama
0,0,1,0,0,0,1,1,0,0,0,10,3,3,0,0,1,6.33,4.18,6,barackobama
2,0,0,0,0,2,3,1,0,0,0,7,5,0,0,0,1,9.67,3.0,3,barackobama
0,2,0,1,0,0,0,1,0,0,0,6,0,0,0,0,0,8.5,3.53,2,barackobama
0,0,0,0,0,0,0,1,0,0,0,6,2,1,0,0,1,6.67,3.5,3,barackobama
0,1,1,1,0,0,0,1,0,0,0,7,2,0,0,0,0,10.5,4.9,2,barackobama
0,0,0,0,0,0,1,1,0,0,0,4,5,0,0,0,0,5.67,4.65,3,barackobama
0,1,0,0,0,0,1,1,0,0,0,7,1,2,0,0,3,7.33,4.14,3,barackobama
1,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,16.0,5.81,1,barackobama
0,0,1,0,1,0,0,1,0,0,0,4,0,0,0,0,0,5.5,3.64,2,barackobama
0,0,0,1,0,0,3,0,1,0,0,6,3,0,0,0,0,7.5,4.53,2,barackobama
3,2,0,1,0,0,1,1,0,0,0,7,0,2,0,0,1,8.75,2.83,4,barackobama
1,0,1,1,0,0,1,2,0,0,0,7,2,1,0,0,0,7.33,4.45,3,barackobama
1,1,0,1,1,0,0,0,0,0,0,9,0,1,0,0,0,7.0,4.29,3,barackobama
1,0,1,0,1,0,1,1,0,0,0,8,2,1,1,0,0,13.5,4.15,2,barackobama
1,0,0,0,1,0,0,0,0,0,0,7,1,0,0,0,0,21.0,4.29,1,barackobama
0,0,0,0,0,0,2,1,0,6,0,8,2,0,0,0,0,7.0,5.5,2,barackobama
0,0,0,0,0,0,0,1,0,0,0,5,0,1,0,0,0,7.0,3.86,2,barackobama
1,0,1,2,1,0,0,0,0,0,0,9,2,0,1,0,0,23.0,4.78,1,barackobama
0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,1,8.5,4.18,2,barackobama
0,1,1,1,0,0,0,1,0,0,0,7,2,0,0,0,0,10.5,4.95,2,barackobama
0,1,1,0,0,1,1,0,0,0,0,8,1,0,1,0,1,12.0,4.13,2,barackobama
1,2,1,0,1,0,1,1,0,0,0,8,1,0,0,0,0,10.5,3.95,2,barackobama
0,0,0,0,0,0,5,1,0,0,0,8,1,0,0,0,1,5.5,6.18,2,barackobama
0,0,0,1,0,0,0,0,0,0,0,7,1,0,0,0,1,11.0,4.86,2,barackobama
0,0,0,2,1,0,0,1,0,0,0,7,4,0,1,0,2,6.25,3.72,4,barackobama
1,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0,0,15.0,5.87,1,barackobama
1,0,1,0,0,0,1,0,0,0,0,2,5,1,0,0,1,9.0,3.28,2,barackobama
0,0,1,0,0,0,1,0,0,0,0,5,2,0,0,0,1,7.5,3.93,2,barackobama
1,0,1,1,0,0,0,0,0,0,0,8,2,0,0,0,0,25.0,4.44,1,barackobama
0,2,0,1,0,0,0,1,0,0,0,7,0,0,1,0,0,13.0,3.77,2,barackobama
0,1,0,0,1,0,0,1,0,0,0,6,4,0,0,0,1,10.5,4.62,2,barackobama
3,0,2,1,0,0,0,0,0,0,0,6,1,0,2,0,0,29.0,3.83,1,barackobama
0,0,0,0,0,0,7,1,0,0,0,11,2,0,0,0,1,9.0,5.94,2,barackobama
0,0,0,1,0,0,2,1,0,0,0,6,2,0,1,0,2,10.0,3.85,2,barackobama
0,1,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,17.0,4.29,1,barackobama
0,0,0,0,0,0,3,1,0,8,0,11,1,0,0,0,0,7.5,6.73,2,barackobama
0,0,0,0,0,0,0,1,0,0,0,5,5,0,1,0,0,9.5,4.16,2,barackobama
0,0,0,0,0,0,1,0,1,0,0,2,3,1,0,0,1,12.0,3.75,1,barackobama
0,0,1,0,0,0,0,0,0,0,0,9,3,0,0,0,1,11.5,3.65,2,barackobama
0,0,1,0,1,0,0,1,0,0,0,5,4,0,0,0,0,11.5,4.3,2,barackobama
0,0,0,1,0,0,0,1,0,0,0,6,6,0,0,0,0,6.25,3.6,4,barackobama
1,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,1,9.0,3.94,2,barackobama
1,0,0,1,0,0,1,1,0,0,0,7,1,3,0,1,1,12.0,3.96,2,barackobama
2,0,0,0,2,0,2,0,0,0,0,7,1,1,1,0,0,13.5,4.11,2,barackobama
0,0,0,1,0,0,0,1,0,0,0,6,0,1,1,0,1,7.0,4.19,3,barackobama
0,1,0,0,1,0,0,0,0,0,0,9,0,0,1,0,0,9.0,5.06,2,barackobama
2,0,1,0,1,1,0,0,0,0,0,4,5,0,0,0,0,8.67,4.27,3,barackobama
1,0,0,1,0,0,0,1,0,0,0,6,5,0,0,0,0,20.0,4.95,1,barackobama
0,1,0,0,1,0,0,0,0,0,0,3,1,1,0,0,0,10.0,4.0,1,barackobama
0,0,0,1,1,0,1,0,0,0,0,6,2,1,0,0,3,10.0,4.15,2,barackobama
0,0,0,0,0,0,0,1,0,2,0,9,1,0,0,0,0,6.0,4.78,3,barackobama
0,0,2,0,2,0,1,1,0,2,0,12,0,0,0,0,1,15.5,3.26,2,barackobama
0,1,0,2,0,0,0,0,0,0,0,8,2,0,0,0,2,11.0,4.05,2,barackobama
2,0,1,1,0,0,1,0,0,0,0,6,0,1,0,0,0,24.0,4.46,1,barackobama
0,0,0,1,0,0,4,1,0,0,0,8,0,0,0,0,1,6.0,6.67,2,barackobama
0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,1,21.0,4.24,1,barackobama
0,0,0,2,0,1,2,0,0,0,0,5,6,0,0,0,1,23.0,4.91,1,barackobama
0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,1,5.0,7.0,1,barackobama
0,0,0,0,0,0,3,1,0,8,0,11,1,0,0,0,0,7.5,6.2,2,barackobama
0,1,0,0,0,0,0,1,0,0,0,6,4,0,0,0,0,15.0,5.13,1,barackobama
0,0,1,0,0,0,0,0,0,0,0,5,4,1,0,0,0,17.0,5.94,1,barackobama
0,0,0,1,0,0,1,0,0,0,0,9,1,0,0,0,1,21.0,4.14,1,barackobama
0,0,0,0,1,1,1,0,0,0,0,5,4,1,0,0,0,18.0,4.17,1,barackobama
0,1,0,0,0,1,1,1,0,0,0,6,2,1,0,0,0,8.5,4.65,2,barackobama
1,2,0,0,0,0,0,1,0,0,0,8,2,0,0,0,0,8.0,4.38,3,barackobama
0,0,0,0,0,0,0,1,0,0,0,6,5,0,0,0,1,11.0,4.18,2,barackobama
0,0,0,0,0,0,1,0,0,0,0,6,1,0,0,0,0,20.0,5.0,1,barackobama
0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,9.0,4.22,1,barackobama
0,0,0,0,0,0,0,1,0,2,0,6,2,0,0,0,0,5.5,5.27,2,barackobama
1,1,0,1,0,0,1,0,0,0,0,6,0,0,0,0,1,8.5,3.41,2,barackobama
1,0,1,1,0,0,0,1,0,0,0,9,0,0,0,0,0,12.0,4.08,2,barackobama
1,0,0,0,0,0,1,1,0,0,0,2,5,1,0,0,0,14.0,4.64,1,barackobama
0,1,0,0,0,0,1,1,0,0,0,7,2,0,1,0,0,20.0,4.9,1,barackobama
2,0,0,0,0,0,1,0,0,0,0,8,1,0,2,0,1,9.67,3.79,3,barackobama
1,0,0,0,0,0,1,1,0,0,0,5,0,1,1,0,0,21.0,4.29,1,barackobama
0,2,0,1,1,0,0,0,0,0,0,4,2,0,1,0,1,9.0,3.85,3,barackobama
1,0,0,1,0,0,0,1,0,0,0,6,0,1,0,0,0,10.5,4.14,2,barackobama
0,1,1,0,1,0,1,2,0,0,0,5,2,1,0,0,0,10.0,3.8,2,barackobama
0,0,0,1,0,0,0,0,0,0,0,8,4,0,0,0,1,12.0,4.0,2,barackobama
1,1,0,2,0,0,0,1,0,0,0,8,4,0,0,0,0,10.5,4.81,2,barackobama
0,1,1,1,0,0,0,0,0,0,0,6,1,0,0,0,0,18.0,4.89,1,barackobama
1,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,1,10.5,5.0,2,barackobama
1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,4.5,4.11,2,barackobama
0,0,0,0,0,0,2,1,0,0,0,4,0,1,0,0,0,6.0,6.75,2,barackobama
